Diện tích sử dụng,address,Phòng ngủ,Nhà tắm,Mã BĐS,Diện tích đất,price,Ngày đăng,Pháp lý
,"Bát Khối, Phường Cự Khối, Quận Long Biên, Hà Nội",3,2,22467114,31 m2(5x6),2 tỷ 600 triệu,16/10/2025,Sổ đỏ
,"Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội",3,3,22368671,"32 m2(3,6x9)",3 tỷ 280 triệu,16/10/2025,Sổ đỏ
,"Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội",3,2,22262851,"38 m2(3,3x13)",2 tỷ 700 triệu,16/10/2025,Sổ đỏ
,"Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội",3,4,21901819,33 m2(4x8),2 tỷ 850 triệu,16/10/2025,Sổ đỏ
,"Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội",3,4,22499347,30 m2(4x8),3 tỷ 800 triệu,16/10/2025,Sổ đỏ
150 m2,"Bát Khối, Phường Thạch Bàn, Quận Long Biên, Hà Nội",3,4,22014684,40 m2(5x6),2 tỷ 990 triệu,16/10/2025,Sổ đỏ
,"Bát Khối, Phường Cự Khối, Quận Long Biên, Hà Nội",3,3,21918232,"30 m2(4,2x8)",2 tỷ 700 triệu,16/10/2025,Sổ đỏ
,"Bát Khối, Phường Long Biên, Quận Long Biên, Hà Nội",3,4,22458007,"31 m2(3,2x7)",3 tỷ 900 triệu,16/10/2025,Sổ đỏ
,"Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội",,,22509089,"45 m2(4,5x9)",2 tỷ 850 triệu,16/10/2025,Sổ đỏ
,"Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội",4,4,22025150,52 m2(5x10),4 tỷ,16/10/2025,Sổ đỏ
,"Phúc lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội",3,4,21739650,"35 m2(3,5x10)",2 tỷ 500 triệu,16/10/2025,Sổ đỏ
,"Phúc lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội",,,21693904,"51 m2(4,2x12)",2 tỷ 700 triệu,16/10/2025,Sổ đỏ
,"Bát Khối, Phường Cự Khối, Quận Long Biên, Hà Nội",3,3,21884587,35 m2(5x7),3 tỷ 500 triệu,16/10/2025,Sổ đỏ
,"Đàm Quang Trung, Phường Long Biên, Quận Long Biên, Hà Nội",3,4,22635272,30 m2(4x8),5 tỷ 480 triệu,16/10/2025,Sổ đỏ
,"Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội",4,4,22627027,52 m2(4x8),5 tỷ 150 triệu,16/10/2025,Sổ đỏ
,"Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội",4,4,22046346,50 m2(4x10),5 tỷ 400 triệu,16/10/2025,Sổ đỏ
,"Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội",,,21675960,34 m2(4x9),2 tỷ 300 triệu,16/10/2025,Sổ đỏ
,"Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội",4,5,22629378,40 m2(4x9),7 tỷ 680 triệu,16/10/2025,Sổ đỏ
,"Ngọc Trì, Phường Thạch Bàn, Quận Long Biên, Hà Nội",,,21866790,60 m2(4x15),6 tỷ 300 triệu,16/10/2025,Sổ đỏ
,"Đàm Quang Trung, Phường Long Biên, Quận Long Biên, Hà Nội",4,4,22614815,50 m2(5x10),12 tỷ 500 triệu,16/10/2025,Sổ đỏ
,"Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội",5,3,22400635,40 m2(3x13),4 tỷ 380 triệu,16/10/2025,Sổ đỏ
,"Bát Khối, Xã Đông Dư, Huyện Gia Lâm, Hà Nội",,,22689257,"36,5 m2(3,6x11)",3 tỷ 850 triệu,16/10/2025,Sổ đỏ
,"Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội",,,21679231,"45 m2(4,5x10)",4 tỷ 100 triệu,16/10/2025,Sổ đỏ
,"Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội",3,4,22538352,50 m2(4x12),5 tỷ 299 triệu,16/10/2025,Sổ đỏ
,"Tư Đình, Phường Long Biên, Quận Long Biên, Hà Nội",3,4,21611391,30 m2(4x8),3 tỷ 400 triệu,16/10/2025,Sổ đỏ
,"Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội",3,4,22340219,30 m2(4x6),2 tỷ 800 triệu,16/10/2025,Sổ đỏ
,"Cổ Linh, Phường Long Biên, Quận Long Biên, Hà Nội",4,4,21658105,37 m2(4x10),3 tỷ 600 triệu,16/10/2025,Sổ đỏ
,"Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội",3,3,22521649,31 m2(4x7),3 tỷ 650 triệu,16/10/2025,Sổ đỏ
,"Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội",3,4,21582775,"31 m2(3,7x10)",3 tỷ,16/10/2025,Sổ đỏ
,"Xuân Đỗ, Phường Cự Khối, Quận Long Biên, Hà Nội",3,4,21799914,33 m2(5x7),2 tỷ 490 triệu,16/10/2025,Sổ đỏ
,"Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội",3,4,22456483,"32 m2(3,3x10)",4 tỷ 150 triệu,16/10/2025,Sổ đỏ
40 m2,"Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội",3,4,21205142,40 m2(4x10),2 tỷ,16/10/2025,Sổ đỏ
,"Phúc lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội",3,4,21503008,"30 m2(4,5x8)",3 tỷ,16/10/2025,Sổ đỏ
,"Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội",,,22491997,"38 m2(3,5x12)",2 tỷ 600 triệu,16/10/2025,Sổ đỏ
,"Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội",3,3,22635274,30 m2(5x6),4 tỷ 100 triệu,16/10/2025,Sổ đỏ
40 m2,"Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội",,,21536189,"40 m2(3,56x11,23)",6 tỷ 200 triệu,16/10/2025,Sổ đỏ
200 m2,"Phố Trạm, Phường Long Biên, Quận Long Biên, Hà Nội",3,4,21434475,"38 m2(4,5x8,5)",4 tỷ,16/10/2025,Sổ đỏ
,"Phúc lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội",5,4,22635273,"54 m2(3,5x14)",6 tỷ 580 triệu,16/10/2025,Sổ đỏ
68 m2,"Sài Đồng, Phường Sài Đồng, Quận Long Biên, Hà Nội",2,1,22671729,,2 tỷ 950 triệu,16/10/2025,Sổ đỏ
,"Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội",4,4,22473698,40 m2(9x4),3 tỷ,16/10/2025,Sổ đỏ
