ma_bds,dien_tich_su_dung_m2,gia(ty),phap_ly,ngay_dang,phuong_xa,quan_huyen,thanh_pho,nha_tam,phong_ngu,dien_tich_dat_m2,gia_per_m2
22712100,100.0,5.8,Sổ đỏ,2025-10-15,Đại La - Phường Đồng Nhân,Hai Bà Trưng,Hà Nội,1,2,,58.0
22712094,80.0,4.35,Sổ đỏ,2025-10-15,Thanh Nhàn - Phường Thanh Nhàn,Hai Bà Trưng,Hà Nội,2,2,,54.375
22711721,90.0,4.58,Sổ đỏ,2025-10-15,Nhân Hòa - Phường Nhân Chính,Thanh Xuân,Hà Nội,2,3,,50.888888888888886
22711722,120.0,4.7,Sổ đỏ,2025-10-15,Thanh Nhàn - Phường Thanh Nhàn,Hai Bà Trưng,Hà Nội,2,3,,39.166666666666664
22711723,100.0,5.4,Sổ đỏ,2025-10-15,Yên Lạc - Phường Vĩnh Tuy,Hai Bà Trưng,Hà Nội,2,3,,54.0
22711725,90.0,3.68,Sổ đỏ,2025-10-15,Nguyễn Trãi - Phường Thượng Đình,Thanh Xuân,Hà Nội,2,3,,40.888888888888886
22711720,150.0,4.48,Sổ đỏ,2025-10-15,Phố Nguyễn Ngọc Doãn - Phường Trung Tự,Đống Đa,Hà Nội,2,4,,29.866666666666667
22711719,80.0,4.6,Sổ đỏ,2025-10-15,Phố Kim Ngưu - Phường Thanh Nhàn,Hai Bà Trưng,Hà Nội,1,3,,57.5
22711718,70.0,4.08,Sổ đỏ,2025-10-15,Doãn Kế Thiện - Phường Mai Dịch,Cầu Giấy,Hà Nội,1,2,,58.285714285714285
22711692,70.0,3.5,Sổ đỏ,2025-10-15,Quỳnh Mai - Phường Bạch Mai,Hai Bà Trưng,Hà Nội,1,3,,50.0
22711690,50.0,2.79,Sổ đỏ,2025-10-15,Lê Gia Định - Phường Bùi Thị Xuân,Hai Bà Trưng,Hà Nội,1,2,,55.8
22711689,70.0,3.9,Sổ đỏ,2025-10-15,Nguyễn Công Trứ - Phường Phạm Đình Hổ,Hai Bà Trưng,Hà Nội,1,2,,55.714285714285715
