Diện tích sử dụng,Diện tích đất,Mã BĐS,Ngày đăng,Nhà tắm,Pháp lý,Phòng ngủ,address,loai_hinh,mo_gioi_link,mo_gioi_phone,mo_gioi_ten,price,title,url
38 m2,"38 m2(3,5x12)",22658178,24/10/2025,3,Sổ đỏ,3,"Phố Vọng, Phường Đồng Tâm, Quận Hai Bà Trưng, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0984857937-luong-tu-uid12186644,0984857937,Lương Tú,6 tỷ 500 triệu,"Bán Nhà hẻm, ngõ Phố Vọng",https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-pho-vong-hbt-38m2-mt-3-7m-gia-nhinh-6-ty-oto-do-cua-id22658178
,60 m2(5x14),22381248,24/10/2025,7,Sổ đỏ,6,"Hồ Tùng Mậu, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0919928661-phung-quang-dau-uid12103377,0919928661,Phùng Quang Dậu,15 tỷ,"Bán Nhà mặt tiền, phố Hồ Tùng Mậu",https://mogi.vn/quan-cau-giay/mua-nha-mat-tien-pho/ban-nha-pho-doan-ke-thien-cau-giay-dt-60m2-xay-7-tang-thang-may-id22381248
120 m2,120 m2(8x15),22668290,24/10/2025,20,Sổ đỏ,20,"Trần Thái Tông, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0987104878-vu-thinh-uid12164532,0987104878,Vũ Thịnh,48 tỷ,"Bán Nhà mặt tiền, phố Trần Thái Tông",https://mogi.vn/quan-cau-giay/mua-nha-mat-tien-pho/ban-toa-apartment-tran-thai-tong-2-thoang-120m2-x-9-tang-48-ty-id22668290
,30 m2(3x10),22535596,24/10/2025,4,Sổ đỏ,3,"Bát Khối, Phường Thạch Bàn, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0912017115-tran-kim-tung-uid12147397,0912017115,Trần Kim Tùng,3 tỷ 500 triệu,"Bán Nhà hẻm, ngõ Bát Khối",https://mogi.vn/quan-long-bien/mua-nha-hem-ngo/ban-nha-thach-ban-30m-x-5-tang-ngo-thong-rong-gan-3m-gia-3-5-ty-id22535596
195 m2,"65 m2(4,5x14,6)",22698617,24/10/2025,2,Sổ đỏ,4,"Giáp Hải, Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0912915066-nguyen-nam-uid12226692,0912915066,Nguyễn Nam,6 tỷ 300 triệu,"Bán Nhà hẻm, ngõ Giáp Hải",https://mogi.vn/huyen-gia-lam/mua-nha-hem-ngo/ban-gap-3-tang-x65m-giap-hai-ecopark-da-ton-nha-4pn-2wc-ngo-thoang-id22698617
85 m2,,22712806,24/10/2025,2,Sổ đỏ,3,"Đỗ Đức Dục, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0947508638-nguyen-van-diem-uid53062,0947508638,Nguyễn Văn Diệm,7 tỷ 199 triệu,Bán Chung cư Khu Đô Thị Mễ Trì Hạ,https://mogi.vn/quan-nam-tu-liem/mua-can-ho-chung-cu/ban-can-ho-chung-cu-khu-do-thi-me-tri-ha-id22712806
100 m2,100 m2(8x13),22657908,24/10/2025,24,Sổ đỏ,24,"Triều Khúc, Phường Thanh Xuân Nam, Quận Thanh Xuân, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0984857937-luong-tu-uid12186644,0984857937,Lương Tú,17 tỷ,"Bán Nhà mặt tiền, phố Triều Khúc",https://mogi.vn/quan-thanh-xuan/mua-nha-mat-tien-pho/ban-ccmn-trieu-khuc-100m2-x8t-thang-may-24p-khep-kin-120tr-thang-id22657908
310 m2,310 m2(10x30),22658280,24/10/2025,,Sổ đỏ,,"Cửa Bắc, Phường Trúc Bạch, Quận Ba Đình, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0987104878-vu-thinh-uid12164532,0987104878,Vũ Thịnh,146 tỷ,Bán Đất thổ cư Cửa Bắc,https://mogi.vn/quan-ba-dinh/mua-dat-tho-cu/ban-dat-pho-truc-bach-xay-khach-san-van-phong-310m2-mt-10m-146-ty-id22658280
,30 m2(4x6),22535774,24/10/2025,2,Sổ đỏ,3,"Bát Khối, Phường Thạch Bàn, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0912017115-tran-kim-tung-uid12147397,0912017115,Trần Kim Tùng,3 tỷ 550 triệu,"Bán Nhà hẻm, ngõ Bát Khối",https://mogi.vn/quan-long-bien/mua-nha-hem-ngo/ban-nha-thach-ban-34m-dan-xay-5-tang-co-o-cho-thang-may-3-55-ty-id22535774
355 m2,"117 m2(6,2x19)",22699693,24/10/2025,3,Sổ đỏ,4,"Bát Khối, Xã Đông Dư, Huyện Gia Lâm, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0912915066-nguyen-nam-uid12226692,0912915066,Nguyễn Nam,11 tỷ 500 triệu,"Bán Nhà mặt tiền, phố Bát Khối",https://mogi.vn/huyen-gia-lam/mua-nha-mat-tien-pho/chi-11-5-ty-truc-chinh-bat-khoi-kinh-doanh-117m-3-tang-kien-co-id22699693
48 m2,48 m2(4x12),22657580,24/10/2025,3,Sổ đỏ,5,"Vũ Tông Phan, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0984857937-luong-tu-uid12186644,0984857937,Lương Tú,8 tỷ 300 triệu,"Bán Nhà mặt tiền, phố Vũ Tông Phan",https://mogi.vn/quan-thanh-xuan/mua-nha-mat-tien-pho/ban-nha-vu-tong-phan-tx-48m-gia-hon-8-ty-oto-kinh-doanh-id22657580
1500 m2,1500 m2(40x40),22651246,24/10/2025,5,Sổ đỏ,5,"Phố Tây Sơn, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0987104878-vu-thinh-uid12164532,0987104878,Vũ Thịnh,65 tỷ,"Bán Nhà mặt tiền, phố Phố Tây Sơn",https://mogi.vn/quan-dong-da/mua-nha-mat-tien-pho/ban-1500m2-san-van-phong-toa-nha-mipec-229-tay-son-dt-500-trieu-thang-id22651246
,"40 m2(3,1x12)",22546538,24/10/2025,4,Sổ đỏ,4,"Phố Trạm, Phường Long Biên, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0912017115-tran-kim-tung-uid12147397,0912017115,Trần Kim Tùng,4 tỷ 250 triệu,"Bán Nhà hẻm, ngõ Phố Trạm",https://mogi.vn/quan-long-bien/mua-nha-hem-ngo/ban-nha-pho-tram-dan-xay-40m-x-4-tang-ngay-cau-vinh-tuy-id22546538
