ma_bds,dien_tich_su_dung_m2,gia(ty),title,phap_ly,ngay_dang,phuong_xa,quan_huyen,thanh_pho,nha_tam,phong_ngu,dien_tich_dat_m2,chieu_dai_m,chieu_rong_m,loai_hinh
22658178,38.0,6.5,"Bán Nhà hẻm, ngõ Phố Vọng",Sổ đỏ,2025-10-24,Phố Vọng - Phường Đồng Tâm,Hai Bà Trưng,Hà Nội,3,3,38.0,12.0,3.5,nha
22381248,60.0,15.0,"Bán Nhà mặt tiền, phố Hồ Tùng Mậu",Sổ đỏ,2025-10-24,Hồ Tùng Mậu - Phường Mai Dịch,Cầu Giấy,Hà Nội,7,6,60.0,14.0,5.0,nha
22668290,120.0,48.0,"Bán Nhà mặt tiền, phố Trần Thái Tông",Sổ đỏ,2025-10-24,Trần Thái Tông - Phường Dịch Vọng Hậu,Cầu Giấy,Hà Nội,20,20,120.0,15.0,8.0,nha
22535596,30.0,3.5,"Bán Nhà hẻm, ngõ Bát Khối",Sổ đỏ,2025-10-24,Bát Khối - Phường Thạch Bàn,Long Biên,Hà Nội,4,3,30.0,10.0,3.0,nha
22698617,195.0,6.3,"Bán Nhà hẻm, ngõ Giáp Hải",Sổ đỏ,2025-10-24,Giáp Hải,None,Hà Nội,2,4,65.0,14.6,4.5,nha
22712806,85.0,7.199,Bán Chung cư Khu Đô Thị Mễ Trì Hạ,Sổ đỏ,2025-10-24,Đỗ Đức Dục - Phường Mễ Trì,Nam Từ Liêm,Hà Nội,2,3,,,,chung_cu
22657908,100.0,17.0,"Bán Nhà mặt tiền, phố Triều Khúc",Sổ đỏ,2025-10-24,Triều Khúc - Phường Thanh Xuân Nam,Thanh Xuân,Hà Nội,24,24,100.0,13.0,8.0,nha
22658280,310.0,146.0,Bán Đất thổ cư Cửa Bắc,Sổ đỏ,2025-10-24,Cửa Bắc - Phường Trúc Bạch,Ba Đình,Hà Nội,8,8,310.0,30.0,10.0,dat
22535774,30.0,3.55,"Bán Nhà hẻm, ngõ Bát Khối",Sổ đỏ,2025-10-24,Bát Khối - Phường Thạch Bàn,Long Biên,Hà Nội,2,3,30.0,6.0,4.0,nha
22699693,355.0,11.5,"Bán Nhà mặt tiền, phố Bát Khối",Sổ đỏ,2025-10-24,Bát Khối,None,Hà Nội,3,4,117.0,19.0,6.2,nha
22657580,48.0,8.3,"Bán Nhà mặt tiền, phố Vũ Tông Phan",Sổ đỏ,2025-10-24,Vũ Tông Phan - Phường Khương Đình,Thanh Xuân,Hà Nội,3,5,48.0,12.0,4.0,nha
22651246,1500.0,65.0,"Bán Nhà mặt tiền, phố Phố Tây Sơn",Sổ đỏ,2025-10-24,Phố Tây Sơn - Phường Ngã Tư Sở,Đống Đa,Hà Nội,5,5,1500.0,40.0,40.0,nha
22546538,40.0,4.25,"Bán Nhà hẻm, ngõ Phố Trạm",Sổ đỏ,2025-10-24,Phố Trạm - Phường Long Biên,Long Biên,Hà Nội,4,4,40.0,12.0,3.1,nha
22700445,400.0,15.5,"Bán Nhà hẻm, ngõ Ngô Xuân Quảng",Sổ đỏ,2025-10-24,Ngô Xuân Quảng,None,Hà Nội,6,15,100.0,16.5,6.0,nha
22657278,36.0,8.2,"Bán Nhà mặt tiền, phố Tân Mai",Sổ đỏ,2025-10-24,Tân Mai - Phường Tân Mai,Hoàng Mai,Hà Nội,3,6,36.0,11.0,3.5,nha
21688139,70.0,22.0,"Bán Nhà hẻm, ngõ Trung Kính",Sổ đỏ,2025-10-24,Trung Kính - Phường Trung Hòa,Cầu Giấy,Hà Nội,6,6,70.0,12.7,5.5,nha
22650207,280.0,80.0,Bán Đất thổ cư Trúc Bạch,Sổ đỏ,2025-10-24,Trúc Bạch - Phường Trúc Bạch,Ba Đình,Hà Nội,8,8,280.0,25.0,11.0,dat
22623466,30.0,5.5,"Bán Nhà hẻm, ngõ Tư Đình",Sổ đỏ,2025-10-24,Tư Đình - Phường Long Biên,Long Biên,Hà Nội,4,3,30.0,5.0,4.0,nha
22703483,150.0,14.4,Bán Nhà đường nội bộ Trâu Quỳ,Sổ đỏ,2025-10-24,Trâu Quỳ,None,Hà Nội,2,3,75.0,15.0,5.0,nha
22653490,48.0,10.8,"Bán Nhà mặt tiền, phố Lê Trọng Tấn",Sổ đỏ,2025-10-24,Lê Trọng Tấn - Phường Khương Mai,Thanh Xuân,Hà Nội,4,5,48.0,12.0,4.0,nha
22710486,250.0,109.999,"Bán Nhà mặt tiền, phố Nguyễn Thái Học",Sổ đỏ,2025-10-24,Nguyễn Thái Học - Phường Kim Mã,Ba Đình,Hà Nội,5,5,250.0,35.0,7.0,nha
22704538,412.0,12.7,"Bán Nhà hẻm, ngõ Nguyễn Quý Trị",Sổ đỏ,2025-10-24,Nguyễn Quý Trị,None,Hà Nội,4,4,103.0,22.0,4.5,nha
22653144,39.0,5.8,"Bán Nhà mặt tiền, phố Bằng Liệt",Sổ đỏ,2025-10-24,Bằng Liệt - Phường Hoàng Liệt,Hoàng Mai,Hà Nội,3,4,39.0,10.0,4.0,nha
22711187,135.0,89.0,"Bán Nhà mặt tiền, phố Hàng Bún",Sổ đỏ,2025-10-24,Hàng Bún - Phường Trúc Bạch,Ba Đình,Hà Nội,6,6,135.0,13.0,10.0,nha
22703511,82.0,8.5,Bán Đất thổ cư Ngô Xuân Quảng,Sổ đỏ,2025-10-24,Ngô Xuân Quảng,None,Hà Nội,6,6,82.0,19.5,4.2,dat
22650429,40.0,8.85,"Bán Nhà mặt tiền, phố Tân Mai",Sổ đỏ,2025-10-24,Tân Mai - Phường Tân Mai,Hoàng Mai,Hà Nội,4,6,40.0,10.0,4.0,nha
22711437,35.0,6.35,"Bán Nhà hẻm, ngõ Văn Trì",Sổ đỏ,2025-10-24,Văn Trì - Phường Minh Khai,Bắc Từ Liêm,Hà Nội,5,5,35.0,9.0,4.0,nha
22703971,190.0,7.9,"Bán Nhà hẻm, ngõ Thúy Lĩnh",Sổ đỏ,2025-10-24,Thúy Lĩnh - Phường Lĩnh Nam,Hoàng Mai,Hà Nội,4,4,37.0,9.0,4.3,nha
22648747,44.0,7.4,"Bán Nhà hẻm, ngõ Giáp Bát",Sổ đỏ,2025-10-24,Giáp Bát - Phường Giáp Bát,Hoàng Mai,Hà Nội,3,4,44.0,11.0,4.0,nha
