Ngày đăng,Pháp lý,Diện tích đất,Nhà tắm,Phòng ngủ,Diện tích sử dụng,Mã BĐS,address,price
2025-10-19,sổ đỏ,33 m2(6x6),4.0,3.0,,21954119,"Phúc lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội",2 tỷ 600 triệu
2025-10-19,sổ đỏ,46 m2(4x11),3.0,3.0,45 m2,22695402,"Phan Đình Giót, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội",6 tỷ 300 triệu
2025-10-19,sổ đỏ,48 m2(4x11),4.0,3.0,,22698693,"Phương Liệt, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội",9 tỷ 200 triệu
2025-10-19,sổ đỏ,30 m2(3x10),2.0,3.0,30 m2,22710866,"Cát Linh, Phường Cát Linh, Quận Đống Đa, Hà Nội",5 tỷ 900 triệu
2025-10-19,sổ đỏ,40 m2(4x10),4.0,6.0,40 m2,22697499,"Huỳnh Cung, Xã Thanh Liệt, Huyện Thanh Trì, Hà Nội",6 tỷ 400 triệu
2025-10-19,sổ đỏ,45 m2(4x11),3.0,4.0,45 m2,22697948,"Đại Từ, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",7 tỷ 550 triệu
2025-10-19,sổ đỏ,42 m2(4x11),4.0,3.0,41 m2,22696486,"Định Công, Phường Định Công, Quận Hoàng Mai, Hà Nội",6 tỷ 700 triệu
2025-10-19,sổ đỏ,40 m2(4x10),5.0,4.0,40 m2,22690228,"Khương Đình, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",8 tỷ 900 triệu
2025-10-19,sổ đỏ,40 m2(4x10),3.0,3.0,40 m2,22688161,"Giáp Nhị, Phường Thịnh Liệt, Quận Hoàng Mai, Hà Nội",7 tỷ 700 triệu
2025-10-19,sổ đỏ,45 m2(4x11),4.0,3.0,45 m2,22687889,"Phố Nguyễn Lân, Phường Thịnh Liệt, Quận Hoàng Mai, Hà Nội",7 tỷ 500 triệu
2025-10-19,sổ đỏ,"50 m2(3,7x12)",2.0,2.0,50 m2,22712278,"Giáp Bát, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",12 tỷ 800 triệu
2025-10-19,sổ đỏ,38 m2(4x10),3.0,3.0,38 m2,22686437,"Giáp Nhị, Phường Thịnh Liệt, Quận Hoàng Mai, Hà Nội",8 tỷ 900 triệu
2025-10-19,sổ đỏ,"29 m2(3,3x10)",3.0,3.0,29 m2,22707721,"Kim Ngưu, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội",6 tỷ 900 triệu
2025-10-19,sổ đỏ,50 m2(4x13),9.0,9.0,50 m2,22682267,"Khương Đình, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",16 tỷ
2025-10-19,sổ đỏ,40 m2(4x10),4.0,4.0,40 m2,22685954,"Ngọc Hồi, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",5 tỷ 300 triệu
2025-10-19,sổ đỏ,36 m2(6x9),3.0,4.0,35 m2,22673187,"Định Công Hạ, Phường Định Công, Quận Hoàng Mai, Hà Nội",5 tỷ 800 triệu
2025-10-19,sổ đỏ,42 m2(4x12),4.0,3.0,,22680636,"Giải Phóng, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",7 tỷ 400 triệu
2025-10-19,sổ đỏ,30 m2(3x10),3.0,3.0,30 m2,22709451,"Chợ Khâm Thiên, Phường Khâm Thiên, Quận Đống Đa, Hà Nội",5 tỷ 200 triệu
2025-10-19,sổ đỏ,36 m2(7x4),3.0,3.0,36 m2,22711137,"Bạch Đằng, Phường Phan Chu Trinh, Quận Hoàn Kiếm, Hà Nội",8 tỷ 600 triệu
2025-10-19,sổ đỏ,46 m2(4x14),3.0,4.0,46 m2,22646137,"Định Công, Phường Định Công, Quận Hoàng Mai, Hà Nội",9 tỷ 900 triệu
2025-10-19,sổ đỏ,16 m2(1x1),1.0,2.0,16 m2,22710865,"Nguyễn Cao, Phường Phạm Đình Hổ, Quận Hai Bà Trưng, Hà Nội",5 tỷ 850 triệu
2025-10-19,sổ đỏ,"150 m2(7,2x12)",1.0,1.0,150 m2,22710869,"Ngõ Thống Nhất, Phường Phố Huế, Quận Hai Bà Trưng, Hà Nội",14 tỷ 500 triệu
2025-10-19,sổ đỏ,"78 m2(4,5x16)",3.0,4.0,78 m2,22648607,"Phan Đình Giót, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội",15 tỷ 500 triệu
2025-10-19,sổ đỏ,38 m2(4x10),4.0,4.0,39 m2,22649075,"Đại Từ, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",6 tỷ 950 triệu
2025-10-19,sổ đỏ,40 m2(4x10),4.0,4.0,40 m2,22647623,"Giáp Nhị, Phường Thịnh Liệt, Quận Hoàng Mai, Hà Nội",7 tỷ 950 triệu
2025-10-19,sổ đỏ,39 m2(4x10),3.0,4.0,39 m2,22653144,"Bằng Liệt, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",5 tỷ 800 triệu
2025-10-19,sổ đỏ,40 m2(4x10),4.0,4.0,40 m2,22657585,"Giải Phóng, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",11 tỷ 900 triệu
2025-10-19,sổ đỏ,50 m2(5x10),3.0,5.0,50 m2,22710660,"Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",8 tỷ 990 triệu
2025-10-19,sổ đỏ,45 m2(3x15),4.0,4.0,45 m2,22711420,"Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội",10 tỷ 800 triệu
2025-10-19,sổ đỏ,44 m2(4x11),3.0,4.0,44 m2,22648747,"Giáp Bát, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",7 tỷ 400 triệu
2025-10-19,sổ đỏ,"40 m2(3,36x10)",2.0,2.0,40 m2,22711416,"Hoàng Mai, Phường Tương Mai, Quận Hoàng Mai, Hà Nội",6 tỷ 950 triệu
2025-10-19,sổ đỏ,"52 m2(3x3,18)",2.0,2.0,52 m2,22711419,"Phúc Xá, Phường Phúc Xá, Quận Ba Đình, Hà Nội",12 tỷ 800 triệu
2025-10-19,sổ đỏ,"26 m2(5,2x4)",2.0,2.0,26 m2,22711418,"Lò Đúc, Phường Ngô Thì Nhậm, Quận Hai Bà Trưng, Hà Nội",7 tỷ 600 triệu
2025-10-19,sổ đỏ,20 m2(4x5),4.0,4.0,20 m2,22711140,"Chợ Khâm Thiên, Phường Khâm Thiên, Quận Đống Đa, Hà Nội",4 tỷ 650 triệu
2025-10-19,sổ đỏ,15 m2(3x5),2.0,2.0,15 m2,22711138,"Đại La, Phường Phạm Đình Hổ, Quận Hai Bà Trưng, Hà Nội",5 tỷ 500 triệu
2025-10-19,sổ đỏ,"72 m2(3,4x19)",9.0,9.0,72 m2,22711136,"Cầu Diễn, Phường Phúc Diễn, Quận Bắc Từ Liêm, Hà Nội",13 tỷ 800 triệu
2025-10-19,sổ đỏ,60 m2(4x15),4.0,4.0,60 m2,22699659,"Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",12 tỷ 990 triệu
2025-10-19,sổ đỏ,20 m2(3x7),2.0,2.0,20 m2,22709452,"Linh Quang, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội",5 tỷ 600 triệu
2025-10-19,sổ đỏ,15 m2(4x5),1.0,1.0,15 m2,22709454,"Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",5 tỷ 600 triệu
